capsi,abrangencia,endereco,bairro,cidade,uf,contato,ramais,contato2,email,isFulltime,alcoolDrogas,transtornoGrave,criancaAdolescente,observacao
CAPSi Brasília,Asa Norte,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Asa Sul,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Cruzeiro,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Lago Norte,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Lago Sul,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Sudoeste,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Octogonal,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Noroeste,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Vila Planalto,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Granja do Torto,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Varjão,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Paranoá,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Itapoã,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,São Sebastião,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Jardim Botânico,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Estrutural,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Guará I e II,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Brasília,Park Way,"SMHN, Qd. 03, Conj. 1, Bloco A, Ed. COMPP ",Asa Norte,Brasília,DF,2017-1900,7710 e 7711,,capsi.asanorte@yahoo . com.br,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Taguatinga,"QNF, AE 24 ",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Águas Claras,"QNF, AE 24",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Vicente Pires,"QNF, AE 24 ",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Ceilândia,"QNF, AE 24 ",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Areal,"QNF, AE 24 ",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Taguatinga,Arniqueiras,"QNF, AE 24 ",Taguatinga,Brasília,DF,2017-1145,4260 e 4261,99124-2067,capsitaguatinga@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Recanto das Emas,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Samambaia,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Gama,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Santa Maria,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Riacho Fundo I,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Riacho II,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Núcleo Bandeirante,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Recanto das Emas,Candangolândia,"Quadra 307, A/E 1 (no Centro de Saúde 1 do Recanto das Emas)",Recanto das Emas,Brasília,DF,2017-1145,6001,,capsi.cgsre@gmail.com ,FALSE,TRUE,TRUE,TRUE,
CAPSi Sobradinho,Planaltina,"Quadra 4, Área Especial, Lote 6",Sobradinho I,Brasília,DF,2017-1145,1838,,capsisobradinho@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Sobradinho,Sobradinho I e II,"Quadra 4, Área Especial, Lote 6
",Sobradinho I,Brasília,DF,2017-1145,1838,,capsisobradinho@gmail.com,FALSE,TRUE,TRUE,TRUE,
